,Cod_Loc,IdProvincia,IdDepartamento,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web
64,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Gráfico E Histórico Del Club De Gimnasia Y Esgrima La Plata,4 N° 979,,B1900TDT,221.0,422 2510,,
65,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Automóvil Colección Rau,Av. 1 Nº 121 Entre 34 y 35,,B1902CGC,221.0,427 6660,,
66,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,,1900,221.0,423 4910,,
67,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,,B1900ASW,221.0,423 5033,museomumart@yahoo.com.ar,
68,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N° 933,,B1900ATK,,,,
69,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Eclesiástico Catedral,Calle 14 Entre 51 y 53,,B1900DVL,221.0,427 3504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com
70,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Beato Angélico,Calle 47 Entre 16 y Diag. 73,,B1900AKQ,221.0,424 8906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar
71,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Archivo Histórico Y Museo Del Servicio Penitenciario Bonaerense,35 N° 535 E/ 5 y 6,,B1902BBU,221.0,429 3892,,
72,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Física,"Calle 115, Entre 49 y 50 S/N",,1900,221.0,424 6062,,
73,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 Nº 1579,,B1904CTG,221.0,424 2698,,
74,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Odontología Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontología,,1900,221.0,423 6777,,
75,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Calcos,"Diagonal 78 N 680, Oficina 16",,B1904BTD,221.0,427 6304,,
76,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Policial,Calle 54 N° 393 Entre 2 y 3,,B1900BDO,221.0,423 1876,,
77,6357120,6,6357,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Laguna de Los Padres,Museo Municipal José Hernández,"Ruta 226 Km. 14,5",,B7601XAD,223.0,463 1394,,
78,6469080,6,6469,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lincoln,Museo Enrique Urcola,Avdea. 9 de Julio 260,,B6070ACP,2355.0,421 262,,
79,6476030,6,6476,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Loberia,Museo De Ciencias Naturales Gesué P. Noseda,Alvear 181,,B7635BWC,2261.0,442 227,,
80,6483040,6,6483,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lobos,Museo Y Biblioteca Provincial Presidente Juan Domingo Perón,Pte. Perón 482,,B7240AAJ,2227.0,422 843,,
81,6497060,6,6497,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Complejo Museográfico Provincial Enrique Udaondo,"Calle Lavalle 917, Entre Lezica y Torrezuri",,B6700ANU,2323.0,420 245,,
82,6497060,6,6497,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Museo Municipal De Bellas Artes Fernán Félix De Amador,9 de julio 0863,,B6700CDM,2323.0,420 755,,
83,6357110,6,6357,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Centro Cultural Victoria Ocampo,Matheu 1851,,B7602GAK,223.0,492 0569,gestion@cultura.mardelplata.cultura.com.ar,
84,6357110,6,6357,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Arte Juan Carlos Castagnino,Avda. Colón 1189 - Villa Ortiz Basualdo,,B7600FXE,223.0,486 1636,,
85,6357110,6,6357,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Ciencias Naturales Lorenzo Scaglia,Avda. Libertad 3099,,B7600HJB,223.0,473 8791,,
86,6357110,6,6357,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Archivo Museo Histórico Municipal Roberto T. Barili,Lamadrid 3870,,B7602CQV,223.0,495 1200,,
87,6525020,6,6525,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Marcos Paz,Museo De Arte Hispano Luso Americano Y Del Folklore,Hipólito Irigoyen 377,,B1727BAG,220.0,477 1110,,
88,6756010,6,6756,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Martínez,Museo Chavín De Huantar,Luis Sáenz Peña 2864,,B1640ITF,11.0,4798 1835,,
89,6280040,6,6280,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo De La Región De Ansenuza Aníbal Montes,Sarmiento Esq. Urquiza,,X5143BQG,3563.0,493 621,,
90,6280040,6,6280,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Del Gran Hotel Viena De Miramar,Croacia S/N,,X5143BQG,,,,
91,6280040,6,6280,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Municipal Punta Hermengo,"Vivero Bosque ""Florentino Ameghino""",,7607,,,,
92,6280040,6,6280,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Fotográfico De Miramar,Libertad 124,,X5143BQD,3563.0,493078,,
93,6260010,6,6260,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Grande,Museo Histórico Municipal La Campana,"Deán Gregorio Funes 1221, B° la Morita",,1842,11.0,4290 0437,,
94,6553020,6,6553,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Hermoso,Museo Municipal De Ciencias Naturales,"Avda. Recalada 243,",,B8153CMC,2921.0,482 601,,
95,6568010,6,6568,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo De La Catedral De Morón Inmaculada Concepción Del Buen Viaje,Gral. Manuel Belgrano 327,,B1708IFG,11.0,4629 0969,mensajes@catedraldemoron.org.ar,
96,6568010,6,6568,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo Histórico Y De Arte Gral. José De San Martín,Casullo 59,,B1708IPA,11.0,4629 1456,arteycultura@moron.gov.ar,
97,6568010,6,6568,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo Nacional De Aeronáutica Brig. Edmundo H. Civati Bernasconi,Avda. Eva Perón 2200,,B1708FEU,11.0,4697 9780,museonacionalaeronautica@yahoo.com.ar,
98,6861010,6,6861,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Munro,Museo Del Cine Lumiton,Sargento Cabral 2354,,B1605EEH,11.0,4721 9255,,
99,6700060,6,6700,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Pigüe,Museo Y Archivo De La Ciudad De Pigüé,"Parque Municipal ""Fortunato Chiappara""",,8170,2923.0,475 001,,
100,6651080,6,6651,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Púan,Museo Municipal Ignacio Balvidares,San Martín y Garay,,8180,2923.0,498 018,,
101,6560010,6,6560,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Puente Márquez,Museo Orlando Ambrosio Binaghi,Puente de Márquez 1251 y Mendoza,,1742,237.0,468 5533,,
102,6658010,6,6658,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Quilmes,Museo Municipal Del Transporte Don Carlos Hillner Y Decoud,Laprida y Ricardo Rojas,,B1879BTQ,11.0,4280 5488,,
103,6658010,6,6658,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Quilmes,Museo De Artes Visuales Víctor E. Roverano,Rivadavia 498,,B1878KJJ,11.0,4224 5336,,
104,6658010,6,6658,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Quilmes,Museo Municipal Histórico Fotográfico De Quilmes Gerónima Irma Giles Y Gaetano De Mayol,25 de Mayo 218 Este / Lavalle y Brown,,B1878JZF,11.0,4253 9162,,
105,6665040,6,6665,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ramallo,Museo Histórico Municipal De Ramallo Hércules J. Rabagliati,Moreno 890,,B2915BNR,3407.0,422 930,,
106,6343030,6,6343,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ranchos,Museo Histórico De Ranchos Marta Inés Martínez,Leopoldo Casal 3059,,B1987BDO,2241.0,475 477,museoranchos@yahoo.com.ar,
107,6343030,6,6343,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ranchos,Museo Ferroviario Ranchos,Belgrano y Moreno,,1987,2241.0,482 002,,
108,6672010,6,6672,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Rauch,Museo Municipal De Artes Plásticas Faustino Jorge Bonadeo,Avda. San Martín 155,,B7203BPB,2297.0,443 249,,
109,6721020,6,6721,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Salliquelo,Museo Gabriel Campomar Cervera,Brasil 455,,B6339AKK,2394.0,480 672,,
110,6714060,6,6714,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Salto,Museo Rincón De Historia,Oscar Eduardo Quiñones,,2741,2474.0,424 809,,
111,6371010,6,6371,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Andrés,Museo Histórico Regional Brigadier General Don Juan Manuel De Rosas,Diego Pombo 3324,,B1651AFJ,11.0,4830 0683,,
112,6735020,6,6735,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Antonio de Areco,Museo De Artes Plásticas Juan B. Tapia,Lavalle 363,,B2760BME,2326.0,456 202,,
113,6735020,6,6735,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Antonio de Areco,Centro Cultural Y Museo Usina Vieja,Alsina 66,,B2760ACB,2326.0,456 202,usinavieja@hotmail.com,
114,6735020,6,6735,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Antonio de Areco,Museo Evocativo Y De Bellas Artes Osvaldo Gasparini,Alvear 521,,B2760ADK,2326.0,454 243,,
115,6735020,6,6735,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Antonio de Areco,Parque Criollo Y Museo Gauchesco Ricardo Güiraldes,Camino Ricardo Güiraldes S/N,,2760,2326.0,455 839,,
116,6756010,6,6756,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Isidro,Museo Histórico Municipal Brig. Gral. Juan M. Pueyrredón,Rivera Indarte 48,,B1642IFB,11.0,4512 3131,,
117,6756010,6,6756,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Isidro,Museo Biblioteca Y Archivo Histórico Municipal De San Isidro Dr. Horacio Beccar Varela,Adrián Beccar Varela 774,,B1642DMD,11.0,4575 4038,,
118,6427010,6,6427,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Justo,Museo Histórico Municipal Rosa Giussani De Piva,9 de julio 2457,,S3040AGI,3498.0,420 004,,
119,6760010,6,6760,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Miguel,Museo Mariposas Del Mundo,Italia 650,,B1663NXN,11.0,4664 2108,,
120,6763050,6,6763,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Nicolás de Los Arroyos,Museo Y Archivo Histórico Municipal Don Gregorio Santiago Chervo,Francia 187,,B2900HVC,3461.0,422 259,,
121,6763050,6,6763,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Nicolás de Los Arroyos,Museo Y Biblioteca De La Casa Del Acuerdo De San Nicolás,De la Nación 139-143,,B2900AAC,3461.0,421 452,,
122,6791050,6,6791,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tandil,Museo Municipal De Bellas Artes De Tandil (Mumbat),Chacabuco 357,,B7000AKI,2293.0,432 067,museotandil@hotmail.com,
123,6791050,6,6791,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tandil,Museo Histórico Fuerte Independencia,4 de abril 0845,,B7000BAI,2293.0,435 573,museodelfuerte@yahoo.com.ar,
124,6798020,6,6798,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tapalqué,Museo Y Centro De Cultura,Avda. Belgrano 225,,B7303BIC,2283.0,420 551,,
125,6805010,6,6805,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tigre,Museo De La Reconquista,Avda. Liniers y Padre Castañeda,,B1648DAP,11.0,4512 4496,cultura@tigre.gov.ar,
126,6805010,6,6805,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tigre,Museo Naval De La Nación,Paseo Victorica 602,,B1648DVN,11.0,4749 0608,museonaval@ara.mil.ar,www.ara.mil.ar
127,6805010,6,6805,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tigre,Museo Histórico De La Prefectura Naval Argentina,Avda. Liniers 1264,,B1648DAZ,11.0,4749 6161,,www.prefecturanaval.edu.ar/museo/
128,6805010,6,6805,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tigre,Museo De Arte Tigre,Paseo Victorica 972,,B1648DVT,11.0,4512 4528,museodearte@tigre.gov.ar,
129,6819040,6,6819,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tornquist,Museo Histórico Regional Fuerte Argentino,Gral. Paz 51,,B8160AWA,231.0,494 0810,mspialtini@yahoo.com.ar,
130,6826050,6,6826,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Trenque Lauquen,Museo Histórico De Las Campañas Al Desierto Gral. Conrado E. Villegas,San Martín 1150,,B6400CFN,2392.0,423 673,,
131,6826050,6,6826,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Trenque Lauquen,Museo Cívico Almafuerte,Almafuerte 174,,B6400AKF,,,,
132,6833100,6,6833,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tres Arroyos,Museo Municipal José A. Mulazzi,San Martín 323,,B7500IKD,2983.0,434 555,,
133,6833100,6,6833,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tres Arroyos,Museo De Bellas Artes De Tres Arroyos,Avda. Moreno 232,,B7500GHP,2983.0,432 354,,
