,Cod_Loc,IdProvincia,IdDepartamento,Categoria,Provincia,Departamento,Localidad,Nombre,Domicilio,Piso,CP,cod_area,Teléfono,Mail,Web,Pantallas,Butacas,espacio_INCAA
26,78021040,78,78021,Salas de cine,Santa Cruz,Guer Aike,Río Gallegos,Cine Rio Gallegos,Av. Nestor Kirchner 1142,s/d,9400,2966,423753,socin@hotmail.com,http://www.cineriogallegos.com.ar/,3,290,
27,78049020,78,78049,Salas de cine,Santa Cruz,Rio Chico,Gobernador Gregores,Cine Municipal,Av. San Martin 514,s/d,9311,2962,491228,s/d,http://www.santacruz.gob.ar,1,80,
28,86147130,86,86147,Salas de cine,Santiago del Estero,Rio Hondo,Termas de Río Hondo,Atlas Cine,Bolivar 15,s/d,4220,11,55290375,rabdenur@gmail.com,http://www.santacruz.gob.ar,1,233,
29,86119100,86,86119,Salas de cine,Santiago del Estero,Moreno,Quimili,Cine Teatro,Rivadavia 553,s/d,3740,3843,402187,sixtomadiaz@hotmail.com,https://www.municipalidaddequimili.gob.ar/,1,136,
30,90084010,90,90084,Salas de cine,Tucumán,Capital,San Miguel de Tucumán,Atlas Cine,Av. Brigido Teran 250,s/d,4000,11,55290375,rabdenur@gmail.com,cineatlasweb.com.ar,2,219,
31,82049020,82,82049,Salas de cine,Santa Fe,General Obligado,Avellaneda,Luna De Avellaneda,Av. San Martin 810,s/d,3561,3482,598468,gscarel@estudioscarel.com.ar,http://www.cinelunadeavellaneda.com,1,299,
32,82070050,82,82070,Salas de cine,Santa Fe,Las Colonias,Esperanza,E-Max Cines,Brigadier Lopez 1471,s/d,3080,3496,420947,martin739@gmail.com,http://www.e-max.com.ar,3,584,
33,82021310,82,82021,Salas de cine,Santa Fe,Castellanos,Rafaela,Las Tipas Boulevard,C. Conscripto Zurbriggen 865,s/d,2300,3562,405750,admin@lastipasboulevard.com.ar,www.lastipasrafaela.com.ar/,4,920,
34,82063170,82,82063,Salas de cine,Santa Fe,La Capital,Santa Fe,Centro Cultural Prov. Francisco Paco Urondo,Junin 2457,s/d,3000,342,4573735,cencultu@yahoo.com.ar,https://es-la.facebook.com/ccpacourondo/,1,800,
35,82021360,82,82021,Salas de cine,Santa Fe,Castellanos,Sunchales,Auditorio,Ruta 34 Km 262,s/d,2322,3493,454542,infocet@atilra.org.ar,https://www.ate.org/listado_agenda/seccion/3/zona/26/cine-auditorio-ate.html,1,305,
36,50049050,50,50049,Salas de cine,Mendoza,Las Heras,Las Heras,Tadicor Las Heras,Juan Dragui Lucero 1450,s/d,5539,351,4864350,pcavallero@tadicor.com,http://www.tadicor.com/Cines.php,2,284,
37,50098100,50,50098,Salas de cine,Mendoza,San Martin,San Martín,Tadicor San Martin,Lateral Sur Ruta Nacional 7 Sin Nro,s/d,5570,351,4864350,pcavallero@tadicor.com,htpp:/www.tadicor.com sección cines,2,302,
38,14182060,14,14182,Salas de cine,Córdoba,Union,Bell Ville,Sudcinemas,Mitre 61,s/d,5900,353,422337,sudcinemas@arnetbiz.com.ar,http://sudcinemas.com.ar/cine-wp/cine/bellville/,2,324,
39,14014010,14,14014,Salas de cine,Córdoba,Capital,Córdoba,Dinosaurio Mall 60 Cuadras,Av. Circunvalacion Agustin Tosco 4552,s/d,5014,3515,261500,s/d,https://www.cinesdinomall.com.ar/,2,307,
40,14098110,14,14098,Salas de cine,Córdoba,Rio Cuarto,Elena,Cine Teatro Coop Luz Y Fuerza,Mitre 31,s/d,5815,358,4881249,rboatti@coopluzelena.com.ar,"https://www.facebook.com › Places › Elena, Cordoba, Argentina › Movie Theater",1,279,
41,14161110,14,14161,Salas de cine,Córdoba,Tercero Arriba,Oliva,Cine Cooperativo,Colon 301,s/d,5980,3532,410000,administracion@coop-oliva.com.ar / sofia santolin@coop-oliva,http://coop-oliva.com.ar/,1,200,
42,14098230,14,14098,Salas de cine,Córdoba,Rio Cuarto,Río Cuarto,Cines Del Paseo,Av. Mugnaini Y Sobremonte,s/d,5800,358,4621235,riocuarto@cinesdelpaseo.com.ar,http://cba.gov.ar,4,955,
43,14098230,14,14098,Salas de cine,Córdoba,Rio Cuarto,Río Cuarto,Centro Cultural Leonardo Favio,Buenos Aires 55,s/d,5800,358,4676836,gamolayoli@hotmail.com,http://www.cba.gov.ar/,1,219,
44,14021250,14,14021,Salas de cine,Córdoba,Colon,Salsipuedes,Dinosaurio Mall,Av. Sarmiento 1007,s/d,5113,3515,261500,cluduena@grupodinosaurio.com,http://www.cinesdinomall.com.ar,2,322,
45,14014010,14,14014,Salas de cine,Córdoba,Capital,Villa Rivera Indarte,Sunstar,Ricardo Rojas 9200,s/d,5008,3543,446300,gerente.cordoba@cinesunstar.com,http://www.cinesunstar.com/,6,1398,
46,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural Rector Ricardo Rojas,Av. Corrientes 2038,s/d,1045,s/d,49535405,gabriel.guralnik@gmail.com,http://www.rojas.uba.ar/,2,250,
47,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Av. Del Libertador 750,s/d,1001,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,3,585,
48,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,s/d,1425,s/d,48034062,fwhite@aamnba.org.ar,https://www.facebook.com/pg/amigosdelbellasartes/about/?ref=page_internal,1,235,
49,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Teatro Gran Rivadavia,Av. Rivadavia 8636,s/d,1407,s/d,46741300,paula@granrivadavia.com.ar,http://www.granrivadavia.com.ar/inicio/,1,1494,si
50,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Jeronimo Salguero 3172,s/d,1425,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,3,432,
51,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hoyts,Melian 4880,s/d,1430,s/d,57771000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,10,1918,
52,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinain,Moreno 1199,s/d,1091,s/d,43836432,fernandomadedo@cinain.gob.ar,http://cinain.gob.ar/,2,212,
53,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinema Devoto,Quevedo 3365,s/d,1417,s/d,40196019,mlopez@cinemadevoto.com.ar,https://cinemadevoto.com.ar/,8,1908,
54,2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural Borges,Viamonte 525,Piso 3,1005,s/d,55555358,dpetchersky@yahoo.com.ar,https://www.ccborges.org.ar/,1,160,
55,6882050,6,6882,Salas de cine,Buenos Aires,Zarate,Zarate,Cine Teatro Coliseo,19 De marzo 0314,s/d,2800,11,65992021,maquintero78@gmail.com,https://es-la.facebook.com/ZarateCineTeatroColiseo/,1,300,
56,6441030,6,6441,Salas de cine,Buenos Aires,La Plata,La Plata,Cine Municipal Ecoselect,19 Y 51,Piso 2,1900,221,4248733,cineylocacioneslaplata@gmail.com,http://www.cultura.laplata.gov.ar,1,60,SI
57,6357110,6,6357,Salas de cine,Buenos Aires,General Pueyrredon,Mar del Plata,Cinemacenter,Alberti 1610,s/d,7600,11,52180400,gzamora@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,6,1121,
58,6714060,6,6714,Salas de cine,Buenos Aires,Salto,Salto,Cervantes,Alvear 65,s/d,2741,2474,551096,j.burgos.ceres@hotmail.com,http://saltoyvos.com/tag/cine_cervantes/,1,220,
59,6035010,6,6035,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Village,Autopista Bs. As. - La Plata Km 6,s/d,1870,s/d,51282828,village.avellaneda@village.com.ar,http://facebook.com/cinecervantes3d,16,3485,
60,6035010,6,6035,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Carlos Carella,Av. Galicia 401,s/d,1870,11,37608002,edulabce@hotmail.com,www.unica-cartelera.com.ar/teatros/259-sala-carlos-carella,1,45,
61,6490010,6,6490,Salas de cine,Buenos Aires,Lomas de Zamora,Lomas de Zamora,Cine Teatro Español Lomas De Zamora,Av. Hipolito Yrigoyen 9070,s/d,1832,s/d,42430381,lomasteatroespanol@gmail.com,https://www.facebook.com/cineteatroespanol/,1,522,SI
62,6539010,6,6539,Salas de cine,Buenos Aires,Merlo,San Antonio de Padua,Village,Av. Juan Domingo Peron 24056,s/d,1718,s/d,51688888,village.merlo@village.com.ar,https://www.villagecines.com/,6,1315,
63,6840010,6,6840,Salas de cine,Buenos Aires,Tres de Febrero,Santos Lugares,Cine Teatro Ocean,Av. La Plata 3530,s/d,1676,s/d,47579861,inoya@tresdefebrero.gov.ar,https://www.tresdefebrero.gov.ar/noticias/cultura-y-educacin/reinauguracion-del-cine-teatro-ocean/,1,271,
64,6014010,6,6014,Salas de cine,Buenos Aires,Adolfo Gonzales Chaves,Gonzales Chaves,Cine Coliseo,Av. San Martin 235,Piso 1,7513,2983,481740,sespagch@hotmail.com,https://www.facebook.com/pg/ZarateCineTeatroColiseo/about/?ref=page_internal,1,250,SI
65,6105060,6,6105,Salas de cine,Buenos Aires,Bolivar,Bolivar,María Esther Chiquita Domeño,Av. San Martin 642,s/d,6550,2314,480184,analia.carbajo@live.com,s/d,1,256,SI
66,6861010,6,6861,Salas de cine,Buenos Aires,Vicente Lopez,Munro,Centro Cultural Municipal Munro,Av. Velez Sarsfield 4650,s/d,1605,s/d,47971162,york.cultura@vicentelopez.gov.ar,https://www.vicentelopez.gov.ar/modernizacion/punto-de-interes/3-centro-cultural-munro,1,540,
67,6408010,6,6408,Salas de cine,Buenos Aires,Hurlingham,Hurlingham,Centro Cultural Leopoldo Marechal,Av. Vergara 2396,s/d,1686,s/d,s/d,s/d,https://www.facebook.com/pages/Centro-Cultural-Leopoldo-Marechal-Hurlingham/297621827101262,1,600,
68,6525020,6,6525,Salas de cine,Buenos Aires,Marcos Paz,Marcos Paz,Cine Teatro Roma,Avellaneda 1950,s/d,1727,220,4776523,cine@marcospaz.gov.ar,https://www.facebook.com/pg/cinemarcospaz/about/?ref=page_internal,1,350,
69,6371010,6,6371,Salas de cine,Buenos Aires,General San Martin,Villa Ballester,José Hernández,Balcarce 2973,s/d,1653,s/d,47675752,soteras_jh_am@hotmail.com,https://www.facebook.com/pg/CineTeatroSalaJoseHernandez/about/?ref=page_internal,1,660,
70,6568010,6,6560,Salas de cine,Buenos Aires,Moreno,El Palomar,Cine Teatro Helios,Boulevard San Martin 3076,s/d,1684,s/d,47518647,produccion@cineteatrohelios.com.ar,https://www.cinesargentinos.com.ar/horarios/c:733:cine-teatro-helios/,1,349,SI
71,6441030,6,6441,Salas de cine,Buenos Aires,La Plata,La Plata,Taller De Teatro - UNLP,Calle 10 1076,s/d,1900,221,6239105,proyeccionesterrestres@gmail.com,https://www.facebook.com/pg/Clases-de-Teatro-La-Plata-124851047580248/about/?ref=page_internal,1,100,
72,6063010,6,6063,Salas de cine,Buenos Aires,Balcarce,Balcarce,Cine Paris Balcarce,Calle 18 684,s/d,7620,2266,421703,complejoparis1@gmail.com,https://web.ultracine.com/nueva-sala-cine-paris-de-balcarce/,1,272,
73,6294050,6,6294,Salas de cine,Buenos Aires,General Arenales,General Arenales,Cine Teatro Roma,Castelli 152,s/d,6005,2353,460583,mutualafc@yahoo.com.ar,https://www.facebook.com/pages/Cine-Teatro-Roma-General-Arenales/286484061815736,1,208,
74,6420020,6,6420,Salas de cine,Buenos Aires,La Costa,San Bernardo,Cine Teatro Arenas,Chiozza 1776,s/d,7111,2257,460050,s/d,https://www.facebook.com/pg/Cine-Teatro-Arenas-3D-San-Bernardo-309783435805259/about/?ref=page_internal,3,1358,
75,6595070,6,6595,Salas de cine,Buenos Aires,Olavarria,Olavarría,Cine Paris,General Paz 2720,s/d,7400,2284,417751,complejoparis1@gmail.com,http://www.cineparis.com.ar,2,383,
76,6042010,6,6042,Salas de cine,Buenos Aires,Ayacucho,Ayacucho,Hugo Del Carril,Irigoyen 941,s/d,7150,2296,454949,isaiasalgañaraz@gmail.com,https://www.facebook.com/pages/category/Government-Organization/Direcci%C3%B3n-de-Cultura-Ayacucho-1677928362483344/,1,385,
77,6413050,6,6413,Salas de cine,Buenos Aires,Junin,Junín,Tu Cine,Jorge Newbery 263,s/d,6000,2364,422299,condor@dimarcointernacional.com,http://www.tucine.com.ar,3,453,
78,6861010,6,6861,Salas de cine,Buenos Aires,Vicente Lopez,Olivos,Centro Cultural York,Juan Bautista Alberdi 895,s/d,1636,s/d,47119213,york.cultura@vicentelopez.gov.ar,https://www.facebook.com/cineteatroyorkolivos,1,280,
79,6568010,6,6568,Salas de cine,Buenos Aires,Moron,Morón,Hoyts,Juan Manuel De Rosas 658,s/d,1744,s/d,54441000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,8,1865,
80,6638040,6,6638,Salas de cine,Buenos Aires,Pilar,Pilar,Multiplex,Las Magnolias 754,Piso 1,1629,230,4384812,ssomma@cinesmultiplex.com.ar,https://www.multiplex.com.ar/,9,1407,
81,6497060,6,6497,Salas de cine,Buenos Aires,Lujan,Luján,Cinema Rosso,Lavalle 410,s/d,6700,2323,423954,cinema-rosso@hotmail.com,www.cinemarossolujan.com/,2,197,
82,6588100,6,6588,Salas de cine,Buenos Aires,9 de julio,9 de julio,El Cine De La Biblioteca,Mendoza Y San Martin 991,s/d,6500,2317,457354,waltermarini@msn.com,https://www.facebook.com/bibliotecapopularjingenieros/about/,1,90,
83,6658010,6,6658,Salas de cine,Buenos Aires,Quilmes,Quilmes,Cine Teatro Municipalidad De Quilmes,Mitre 721,s/d,1878,s/d,42532213,incaaquilmes@gmail.com,https://www.facebook.com/INCAAQuilmes/,1,415,si
84,6182030,6,6182,Salas de cine,Buenos Aires,Coronel de Marina L. Rosales,Punta Alta,Cinema Colon,Rivadavia 459,s/d,8109,11,68643237,k.jana@cinemacolon.com.ar,http://www.cinemacolon.com.ar,1,390,
85,6595070,6,6595,Salas de cine,Buenos Aires,Olavarria,Olavarría,Flix Olavarría,Rivadavia 4730,s/d,7400,2281,444411,flix.olavarria@gmail.com,http://olavarria.flixcinema.com.ar/,2,660,
86,6826010,6,6826,Salas de cine,Buenos Aires,Trenque Lauquen,Beruti,Cine Club La Luisa,San Martin 455,s/d,6424,2392,491112,deñegacionberuti@yahoo.com.ar / bttinaty@yahoo.com.ar,s/d,1,310,
87,6826040,6,6826,Salas de cine,Buenos Aires,Trenque Lauquen,30 De agosto,Cine Teatro Santa Rosa De Lima,Santa Rosa De Lima 170,s/d,6405,2392,471739,comprasente30deagosto@cetl.com.ar,https://www.trenquelauquen.gov.ar/noticias/30-de-agosto-funciones-en-el-cine-santa-rosa/,1,410,
88,6861010,6,6861,Salas de cine,Buenos Aires,Vicente Lopez,Munro,Lumiton,Sargento Cabral 2354,s/d,1605,s/d,45806236,lumiton.usina@gmail.com,https://www.instagram.com/lumiton_usina/,1,30,
89,6028010,6,6028,Salas de cine,Buenos Aires,Almirante Brown,Adrogué,Cinemas Paseo Adrogué,Segui 699,s/d,1846,s/d,42140763,s/d,https://www.fandango.lat/ar/cines/cpm-cinemas-paseo-adrogue-190321-191200,4,710,
90,6840010,6,6840,Salas de cine,Buenos Aires,Tres de Febrero,Caseros,Cine Teatro Paramount,Tres De Febrero 2561,s/d,1678,s/d,47501438,inoya@tresdefebrero.gov.ar,https://www.tresdefebrero.gov.ar/tema/cine-teatro-paramount/,2,645,SI
91,10049030,10,10049,Salas de cine,Catamarca,Capital,Catamarca,Cinemacenter,Av. Guemes 850,s/d,4700,3833,4423040,centercatamarca@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,5,914,
92,22140060,22,22140,Salas de cine,Chaco,San Fernando,Resistencia,Espacio Incaa Guido Miranda,Colón 164,s/d,3500,3624,4810748,lagomecita@hotmail.com,http://www.ecomchaco.com.ar/guidomiranda/default.htm,1,167,si
93,22140060,22,22140,Salas de cine,Chaco,San Fernando,Resistencia,Cinemacenter,Av. Lavalle 826,s/d,3500,3624,415999,centeravalos@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,5,792,
94,22140060,22,22140,Salas de cine,Chaco,San Fernando,Resistencia,Cinemacenter,Av. Dr. Sabin Y Av. Nicolas Avellaneda,s/d,3500,3722,446554,centerresistencia@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,3,690,
95,26007020,26,26007,Salas de cine,Chubut,Biedma,Puerto Madryn,Cine Teatro Auditorium,28 De julio 0129,s/d,9120,2804,455653,auditorium@madryn.com,http://www.cinemadryn.com/,2,486,
96,26035060,26,26035,Salas de cine,Chubut,Futaleufu,Trevelin,Espacio INCAA Trevelin,28 De julio 0414,s/d,9203,2945,480145,culturatrevelin@gmail.com,https://cines.com/argentina/espacio-incaa-trevelin/,1,150,si
97,26077040,26,26077,Salas de cine,Chubut,Rawson,Trelew,Espacio INCAA Km 1460,9 De julio 0655,s/d,9100,280,4969388,donato.enrique@hotmail.com,https://www.facebook.com/pg/Sala-Incaa-Km-1460-Trelew-197525007014521/about/?ref=page_internal,1,100,si
98,26035030,26,26035,Salas de cine,Chubut,Futaleufu,Esquel,Auditorio Municipal De Esquel,Belgrano 330,s/d,9200,11,5081526,coordinacioncultura@yahoo.com.ar,https://www.facebook.com/CulturaEsquel/,1,243,
99,26077040,26,26077,Salas de cine,Chubut,Rawson,Trelew,Coliseo,Belgrano 375,Piso 1,9100,2804,425300,delcoliseosa@speedy.com.ar,https://www.facebook.com/Cine-Coliseo-Trelew-262482040443290/,1,380,
100,26077030,26,26077,Salas de cine,Chubut,Rawson,Rawson,Centro Cultural José Hernández,Dr. Jorge Galina S/N,s/d,9103,2804,485564,cinerawsonchubut2014@gmail.com,https://www.facebook.com/media/set/?set=a.910604218955417.1073743674...type...,1,400,si
101,26021030,26,26021,Salas de cine,Chubut,Escalante,Comodoro Rivadavia,Cine Coliseo,San Martin 570,s/d,9000,297,6210242,cinecr@speedy.com.ar,https://www.cinesargentinos.com.ar/horarios/c:511:coliseo-comodoro-rivadavia-/,1,380,
102,26021030,26,26021,Salas de cine,Chubut,Escalante,Comodoro Rivadavia,Cine Teatro Español,San Martin 668,s/d,9000,297,6245762,cinecr@speedy.com.ar,http://www.cinecr.com.ar,1,463,si
103,18021020,18,18021,Salas de cine,Corrientes,Capital,Corrientes,Los Cines De La Costa,Av. Centenario 3535,s/d,3400,3794,472200,centenario@loscinesdelacosta.com.ar,http://shopping.loscinesdelacosta.com.ar/index.php,4,562,
104,18021020,18,18021,Salas de cine,Corrientes,Capital,Corrientes,Cinemacenter,Av. Pedro Ferre Y Chacabuco,s/d,3400,3794,423400,centercorrientes@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,5,1140,
105,18035020,18,18035,Salas de cine,Corrientes,Curuzu Cuatia,Curuzu Cuatiá,Sociedad Rural,Beron De Astrada 641,s/d,3460,s/d,s/d,nuevocineteatrorex@gmail.com,http://cinedelarural.com.ar,1,300,
106,18021020,18,18021,Salas de cine,Corrientes,Capital,Corrientes,Costanera,Carlos Pellegrini 451/311,s/d,3400,3794,472200,costanera@loscinesdelacosta.com.ar,http://www.loscinesdelacosta.com.ar/,2,358,
107,18084020,18,18084,Salas de cine,Corrientes,Ituzaingo,Ituzaingó,Leonardo Favio,Corrientes 1715,s/d,3302,3786,404273,wilfredodavid_50@hotmail.com,https://www.facebook.com/pg/CINEITU/about/,1,200,si
108,18070020,18,18070,Salas de cine,Corrientes,Goya,Goya,Cines De La Costa,España 659,s/d,3450,3794,472200,costanera@loscinesdelacosta.com.ar,www.micartelera.com.ar/cines.asp?id=3,2,370,
109,18119030,18,18119,Salas de cine,Corrientes,Paso de los Libres,Paso de los Libres,Cine Teatro Opera,Los 108 941,s/d,3230,3772,424404,imc@mplibres.gob.ar,https://www.facebook.com/pg/Cineoperacorrientes/about/?ref=page_internal,1,200,
110,30008090,30,30008,Salas de cine,Entre Ríos,Colon,San José,Cine Urquiza,25 De mayo 1849,s/d,3283,343,4320151,nuevocineteatrorex@gmail.com,http://www.cineurquiza.com.ar,1,250,
111,30105060,30,30105,Salas de cine,Entre Ríos,Victoria,Victoria,Cine Teatro Victoria,Alem 64,s/d,3153,343,6421005,culturamdv@gmail.com,https://www.cinesargentinos.com.ar/complejo/sala-municipal-cine-teatro-victoria/,1,299,si
112,30015060,30,30015,Salas de cine,Entre Ríos,Concordia,Concordia,Teatro Gran Odeon,Entre Rios 567,s/d,3200,345,4224758,fernandaaragon@fundacionodeon.com.ar,http://www.fundacionodeon.com.ar,1,664,
113,30098040,30,30098,Salas de cine,Entre Ríos,Uruguay,Concepción del Uruguay,Cine Teatro San Martin,Estrada 820,s/d,3260,3442,426145,estudiocginepro@gmail.com,https://www.facebook.com/cinesanmartin/,1,457,
